HAC,DEN,BHC
424.706,2.0944,435.419
425.446,2.09811,436.797
425.685,2.10189,437.166
425.674,2.10495,436.928
425.634,2.10721,437.019
425.687,2.10899,437.591
425.823,2.11062,438.274
425.935,2.11213,438.618
425.944,2.11328,438.408
425.906,2.11398,438.089
425.935,2.1145,438.112
425.918,2.11482,437.936
425.748,2.11468,437.374
425.621,2.11418,437.025
425.59,2.11398,437.191
425.76,2.11482,437.87
426.084,2.11687,438.636
426.425,2.11967,439.065
426.655,2.12286,439.312
426.685,2.12623,439.439
426.594,2.12935,439.111
426.396,2.13164,438.013
426.181,2.13299,436.824
425.846,2.13403,436.441
426.066,2.13525,436.922
426.043,2.13637,436.071
425.596,2.13706,434.079
425.682,2.13752,433.434
426.05,2.13802,433.002
426.349,2.13871,432.251
426.31,2.13942,430.912
425.852,2.13985,429.051
425.663,2.13994,428.491
426.144,2.13978,429.123
426.491,2.13949,428.961
426.488,2.1391,428.24
426.35,2.13856,427.441
425.819,2.1377,426.206
424.918,2.13653,425.398
424.644,2.13526,426.605
425.534,2.134,428.999
426.368,2.13284,430.058
426.511,2.13179,429.845
426.477,2.13075,429.942
426.442,2.12951,430.214
426.428,2.12798,430.522
426.406,2.12629,430.892
426.247,2.12434,430.378
425.951,2.12189,429.502
425.682,2.11924,430.002
425.911,2.11651,430.945
426.055,2.11381,430.838
425.971,2.11138,430.476
425.52,2.10936,429.85
424.783,2.10776,429.371
425.035,2.10642,430.804
426.088,2.1052,432.208
426.396,2.10409,431.205
426.218,2.10311,429.514
425.834,2.10234,428.809
426.013,2.10183,429.733
426.253,2.10144,429.941
425.568,2.10091,427.956
424.662,2.10022,427.077
424.399,2.09948,427.919
424.113,2.09893,428.198
423.534,2.0988,428.236
423.47,2.09908,429.303
425.005,2.09957,431.811
426.485,2.10037,432.963
426.587,2.10178,431.796
426.492,2.10373,431.531
426.44,2.10601,432.353
426.333,2.10824,432.961
426.191,2.11016,433.552
425.736,2.11168,434.203
425.645,2.11282,435.471
426.174,2.11356,436.853
426.485,2.11392,436.862
426.486,2.1141,436.224
426.522,2.11432,435.874
426.448,2.11447,434.777
425.788,2.11435,432.286
425.118,2.1141,431.229
425.181,2.11407,431.982
