HAC,DEN,BHC
355.312,2.26583,356.649
370.984,2.26828,371.178
386.889,2.26391,383.004
397.67,2.25647,391.166
405.349,2.24655,397.708
409.861,2.23655,403.547
411.539,2.22834,408.349
411.251,2.22232,411.279
410.456,2.22016,413.087
410.293,2.22123,414.859
411.605,2.21971,416.05
413.271,2.21597,416.333
414.686,2.21311,416.659
414.488,2.20833,415.213
413.034,2.20703,413.078
406.922,2.21274,408.788
403.701,2.22394,406.693
405.879,2.23145,408.175
408.627,2.23365,409.45
408.908,2.23442,408.501
406.101,2.23742,405.517
402.001,2.24347,402.382
399.356,2.2499,400.968
398.874,2.25389,401.126
399.855,2.25493,401.927
401.259,2.25409,402.411
402.399,2.2525,402.721
402.119,2.25159,402.709
401.608,2.25192,402.737
401.199,2.25285,403.013
401.047,2.25386,403.553
400.795,2.25443,404.066
400.453,2.25465,404.434
399.915,2.25437,404.667
399.897,2.25436,405.162
400.162,2.25526,405.951
401.006,2.25696,407.01
402.41,2.25803,408.123
404.055,2.25775,409.073
405.65,2.25625,409.872
406.977,2.25415,410.655
408.12,2.25246,411.595
409.109,2.25097,412.562
409.93,2.24924,413.305
410.621,2.24746,413.81
411.367,2.24618,414.302
412.309,2.2453,414.907
413.706,2.24482,415.78
415.611,2.24388,416.919
417.559,2.24186,417.994
419.631,2.2391,418.979
421.494,2.23584,419.751
422.869,2.23262,420.207
423.301,2.22984,420.246
422.006,2.22886,419.616
420.195,2.22916,418.76
417.851,2.23153,417.729
414.822,2.23545,416.26
411.287,2.24107,414.375
407.222,2.24763,412.103
403.626,2.2536,409.935
400.178,2.25858,407.703
396.537,2.26315,405.166
393.185,2.26684,402.589
391.033,2.26852,400.635
391.836,2.26789,400.383
395.65,2.26521,401.84
399.842,2.26218,402.923
404.417,2.2583,404.277
408.144,2.25377,405.706
409.905,2.25008,406.774
410.969,2.24807,407.871
411.554,2.24697,409.14
411.748,2.24551,410.416
411.431,2.24398,411.516
411.341,2.24326,412.713
411.358,2.24414,414.014
411.856,2.2451,415.28
412.75,2.24426,416.227
413.558,2.24174,416.702
413.714,2.23889,416.724
412.676,2.23714,416.252
410.962,2.23688,415.424
407.441,2.23941,413.422
402.908,2.2447,410.581
398.666,2.25075,407.785
395.29,2.25554,405.431
391.868,2.25932,402.894
387.52,2.26336,399.435
382.754,2.26867,395.475
379.643,2.27369,392.463
378.39,2.27655,390.501
376.758,2.2781,388.216
375.565,2.28024,386.022
377.528,2.28153,385.355
383.736,2.27948,387.441
390.175,2.27564,389.395
395.949,2.27148,391.173
402.112,2.26723,393.806
408.946,2.26222,397.808
411.114,2.25914,401.115
412.702,2.25629,403.999
414.14,2.25309,406.978
415.306,2.24949,410.018
416.189,2.24565,412.767
416.888,2.24135,414.942
417.372,2.23749,416.562
417.633,2.23483,417.881
417.838,2.23275,418.993
418.039,2.23135,419.994
418.176,2.23082,420.914
418.292,2.23075,421.68
418.524,2.2301,422.227
