2.01E-02,1.68E-02,7.57E-02,1.52E-01,2.51E-01,1.73E-01,8.76E-02,2.73E-02,9.32E-02,1.20E-01,1.79E-01,1.51E-01,1.12E-01
1.74E-02,1.24E-02,1.05E-01,2.57E-01,2.35E-01,2.92E-01,5.23E-02,3.57E-02,7.41E-02,1.09E-01,1.25E-01,8.19E-02,1.16E-01
1.81E-02,1.25E-02,8.22E-02,1.21E-01,2.73E-01,1.58E-01,9.22E-02,3.93E-02,1.05E-01,1.31E-01,2.95E-01,8.60E-02,1.18E-01
3.28E-02,2.37E-02,1.25E-01,2.28E-01,4.29E-01,2.90E-01,8.12E-02,5.83E-02,9.19E-02,1.03E-01,1.55E-01,7.83E-02,1.41E-01
7.45E-02,5.84E-02,1.65E-01,2.22E-01,4.98E-01,3.04E-01,1.45E-01,1.44E-01,1.39E-01,1.62E-01,3.32E-01,1.47E-01,1.99E-01
1.03E-01,8.44E-02,4.16E-01,6.81E-01,1.25E+00,8.34E-01,1.27E-01,1.36E-01,1.29E-01,1.45E-01,2.50E-01,4.39E-01,3.83E-01
2.11E-02,1.19E-02,7.42E-02,7.13E-02,2.34E-01,9.46E-02,8.01E-02,5.48E-02,9.67E-02,1.49E-01,1.74E-01,1.40E-01,1.00E-01
3.37E-02,1.71E-02,1.53E-01,1.54E-01,3.40E-01,1.79E-01,1.80E-01,7.05E-02,1.70E-01,1.75E-01,2.00E-01,2.27E-01,1.58E-01
1.09E-01,6.60E-02,1.03E+00,1.55E+00,1.70E+00,1.66E+00,1.85E-01,9.81E-02,3.53E-01,4.96E-01,2.92E-01,3.95E-01,6.61E-01
3.32E-02,2.34E-02,1.07E-01,2.90E-01,2.85E-01,2.89E-01,1.12E-01,6.66E-02,9.88E-02,1.18E-01,2.34E-01,6.30E-02,1.43E-01
3.65E-02,2.60E-02,2.04E-01,3.64E-01,3.15E-01,3.54E-01,7.89E-02,5.24E-02,8.90E-02,8.62E-02,2.94E-01,1.60E-01,1.72E-01
2.26E-02,2.51E-02,7.11E-02,1.55E-01,2.58E-01,1.71E-01,1.28E-01,1.63E-01,5.94E-02,1.19E-01,2.91E-01,5.48E-02,1.26E-01
3.07E-02,5.70E-02,9.06E-02,1.69E-01,4.72E-01,1.74E-01,1.51E-01,6.08E-02,1.66E-01,2.29E-01,1.72E-01,2.60E-01,1.69E-01
2.05E-02,1.65E-02,1.23E-01,1.25E-01,2.93E-01,1.81E-01,6.88E-02,5.64E-02,7.90E-02,1.16E-01,1.33E-01,1.29E-01,1.12E-01
2.50E-02,2.09E-02,6.49E-02,1.06E-01,2.18E-01,1.34E-01,7.06E-02,2.74E-02,8.86E-02,1.13E-01,1.56E-01,1.65E-01,9.91E-02
2.39E-02,1.99E-02,1.30E-01,2.82E-01,2.65E-01,3.46E-01,1.05E-01,7.75E-02,9.08E-02,1.41E-01,1.48E-01,7.77E-02,1.42E-01
2.37E-02,1.37E-02,7.04E-02,1.40E-01,3.03E-01,1.53E-01,1.13E-01,3.26E-02,1.48E-01,2.08E-01,2.71E-01,5.67E-02,1.28E-01
1.94E-02,1.70E-02,9.79E-02,1.99E-01,3.54E-01,2.11E-01,6.55E-02,5.01E-02,9.41E-02,1.14E-01,1.68E-01,1.10E-01,1.25E-01
7.24E-02,6.37E-02,1.21E-01,1.58E-01,4.69E-01,2.80E-01,1.21E-01,1.85E-01,9.78E-02,1.24E-01,3.22E-01,1.29E-01,1.79E-01
1.33E-01,7.33E-02,4.93E-01,8.14E-01,1.18E+00,9.26E-01,2.05E-01,1.60E-01,1.54E-01,1.74E-01,2.82E-01,4.79E-01,4.23E-01
2.95E-02,1.80E-02,8.69E-02,1.08E-01,3.08E-01,1.62E-01,5.74E-02,4.39E-02,1.25E-01,2.02E-01,2.17E-01,1.49E-01,1.26E-01
