DEPT    .M,RMG     .ohmm   ,RMN     .ohmm,RMN-RMG,CAL     .cm  ,SP      .mv   ,GR      .   ,HAC     .us/m  ,BHC     .   ,DEN     .g/cm3
747.675,2.725,2.401,-0.324,21.198,111.577,87.619,418.269,411.751,2.136
747.725,2.729,2.454,-0.275,21.36,111.831,85.324,417.628,410.31,2.13
747.775,2.833,2.569,-0.264,21.456,111.983,83.727,417.521,410.203,2.127
747.825,2.955,2.683,-0.272,21.455,111.893,82.829,415.385,410.577,2.128
747.875,3.093,2.854,-0.239,21.371,111.641,81.632,413.356,410.577,2.133
747.925,3.229,3.002,-0.227,21.25,111.485,80.133,408.654,409.615,2.141
747.975,3.251,2.949,-0.302,21.15,111.55,78.437,408.226,407.799,2.15
748.025,3.215,2.925,-0.29,21.104,111.781,76.94,408.013,406.998,2.167
748.075,3.454,3.021,-0.433,21.094,111.972,76.441,406.517,404.221,2.183
748.125,3.752,3.07,-0.682,21.105,111.989,78.237,404.809,402.351,2.196
748.175,3.652,3.129,-0.523,21.135,111.891,81.433,405.236,399.519,2.196
748.225,3.583,3.21,-0.373,21.159,111.828,83.628,407.693,398.504,2.184
748.275,3.583,3.138,-0.445,21.174,111.846,84.626,411.325,398.825,2.168
748.325,3.338,3.283,-0.055,21.195,111.856,84.526,410.257,399.84,2.154
748.375,3.27,3.345,0.075,21.226,111.772,86.023,403.636,399.68,2.146
748.425,3.277,3.605,0.328,21.258,111.633,88.82,399.355,398.609,2.159
748.475,3.498,3.848,0.35,21.267,111.562,92.412,390.81,394.604,2.163
748.525,3.635,3.999,0.364,21.243,111.595,94.707,384.615,391.132,2.152
748.575,3.764,4.141,0.377,21.213,111.607,94.807,383.12,390.225,2.16
748.625,3.974,4.372,0.398,21.181,111.451,94.408,385.576,389.263,2.155
748.675,4.139,4.553,0.414,21.11,111.154,94.309,391.134,389.904,2.146
748.725,4.13,4.543,0.413,20.988,110.916,96.305,393.27,390.972,2.138
748.775,3.959,4.355,0.396,20.852,110.875,99.399,394.765,392.041,2.129
748.825,3.79,4.169,0.379,20.737,110.945,101.295,394.017,391.827,2.129
748.875,3.723,4.095,0.372,20.652,110.926,102.393,391.668,389.531,2.132
748.925,3.718,4.09,0.372,20.58,110.746,102.693,390.277,387.713,2.147
748.975,3.754,4.129,0.375,20.513,110.506,102.293,389.103,385.791,2.16
749.025,3.877,4.265,0.388,20.468,110.323,100.697,389.744,386.645,2.17
749.075,3.98,4.378,0.398,20.439,110.235,99.998,393.375,390.063,2.178
749.125,3.9,4.29,0.39,20.414,110.255,98.601,396.473,391.773,2.179
749.175,3.818,4.2,0.382,20.392,110.397,97.701,398.182,393.376,2.175
749.225,3.838,4.222,0.384,20.359,110.579,96.604,395.297,393.429,2.166
749.275,3.967,4.363,0.396,20.301,110.626,97.203,384.722,392.575,2.161
749.325,4.178,4.596,0.418,20.243,110.462,97.702,377.032,391.079,2.156
749.375,4.199,4.619,0.42,20.213,110.244,99.199,379.272,391.506,2.154
749.425,3.957,4.353,0.396,20.223,110.187,99.998,395.519,395.247,2.153
749.475,3.706,4.076,0.37,20.27,110.294,101.096,407.479,398.665,2.149
749.525,3.587,3.946,0.359,20.306,110.411,101.695,408.654,400.107,2.137
749.575,3.578,3.936,0.358,20.288,110.488,102.593,407.265,402.67,2.138
749.625,3.611,3.972,0.361,20.223,110.6,103.092,407.158,404.967,2.124
749.675,3.626,3.989,0.363,20.159,110.76,102.293,407.158,408.601,2.113
749.725,3.617,3.979,0.362,20.156,110.83,101.195,407.265,409.616,2.106
749.775,3.611,3.972,0.361,20.207,110.7,99.299,406.838,410.897,2.103
749.825,3.565,3.922,0.357,20.267,110.46,97.403,404.808,410.951,2.102
749.875,3.401,3.742,0.341,20.32,110.311,95.906,402.138,413.033,2.089
749.925,3.249,3.574,0.325,20.373,110.351,95.706,403.423,414.851,2.087
749.975,3.101,3.411,0.31,20.422,110.532,96.005,411.433,416.186,2.077
750.025,2.844,3.128,0.284,20.481,110.766,97.103,416.773,416.667,2.084
750.075,2.757,3.032,0.275,20.565,110.986,97.702,423.182,415.972,2.083
750.125,2.987,3.286,0.299,20.672,111.132,97.502,419.66,413.303,2.089
750.175,3.324,3.656,0.332,20.802,111.176,97.702,416.984,411.59,2.083
750.225,3.656,4.022,0.366,20.917,111.164,98.102,410.575,407.905,2.101
750.275,3.994,4.393,0.399,20.979,111.153,99.898,402.671,404.327,2.117
750.325,4.267,4.694,0.427,20.997,111.133,101.295,399.039,402.885,2.125
750.375,4.431,4.874,0.443,20.995,111.089,102.493,396.689,402.511,2.13
750.425,4.491,4.94,0.449,20.989,111.106,101.395,399.577,403.312,2.128
750.475,4.515,4.966,0.451,20.994,111.275,101.495,407.693,403.953,2.119
750.525,4.78,5.258,0.478,21.008,111.489,100.796,408.974,402.35,2.123
