DEPT    .M ,RMG     .none ,RMN     .none   ,RMN-RMG,CAL     .none ,SP      .none,GR      .none,HAC     .non,BHC     .none,DEN     .none 
720.529,2.622,3.308,0.686,22.347,122.008,89.297,404.594,407.747,2.159
720.579,2.685,3.383,0.698,22.308,121.91,88.334,402.35,406.249,2.148
720.629,2.781,3.506,0.725,22.29,121.715,86.506,402.352,404.166,2.142
720.679,2.891,3.661,0.77,22.294,121.65,83.62,410.15,401.977,2.144
720.729,2.932,3.69,0.758,22.306,121.584,81.599,410.15,401.015,2.151
720.779,2.801,3.496,0.695,22.306,121.519,79.964,407.266,398.452,2.157
720.829,2.638,3.33,0.692,22.295,121.487,80.156,407.259,396.687,2.164
720.879,2.717,3.452,0.735,22.302,121.422,80.733,394.979,394.017,2.171
720.929,2.889,3.671,0.782,22.322,121.389,81.406,394.979,393.323,2.173
720.979,3.061,3.859,0.798,22.318,121.422,82.465,386.861,391.56,2.174
721.029,3.261,4.023,0.762,22.28,121.454,84.773,386.859,390.172,2.173
721.079,3.275,4.041,0.766,22.236,121.487,86.411,385.577,386.805,2.172
721.129,3.28,4.107,0.827,22.227,121.487,87.854,385.578,385.63,2.166
721.179,3.374,4.273,0.899,22.244,121.454,88.238,388.675,384.615,2.153
721.229,3.377,4.302,0.925,22.253,121.454,89.489,388.675,384.882,2.141
721.279,3.334,4.214,0.88,22.246,121.389,91.509,390.918,384.936,2.128
721.329,3.239,4.126,0.887,22.232,121.291,93.051,390.918,384.668,2.133
721.379,3.12,4.059,0.939,22.234,121.226,95.552,389.209,383.333,2.145
721.429,3.163,4.039,0.876,22.261,121.129,98.15,389.209,383.013,2.171
721.479,3.378,4.008,0.63,22.29,121.129,100.362,391.773,386.965,2.196
721.529,3.468,4.022,0.554,22.304,121.259,102.479,391.774,388.888,2.208
721.579,3.4,4.138,0.738,22.314,121.259,104.02,397.863,391.828,2.212
721.629,3.364,4.114,0.75,22.331,121.096,105.367,397.861,393.216,2.2
721.679,3.209,3.967,0.758,22.351,121.096,106.329,388.996,395.192,2.189
721.729,3.038,3.888,0.85,22.367,121.259,106.81,388.996,395.726,2.176
721.779,3.529,4.16,0.631,22.391,121.291,107.868,388.355,396.1,2.162
721.829,4.122,4.519,0.397,22.448,121.357,108.157,388.365,397.063,2.145
721.879,3.725,4.324,0.599,22.52,121.454,108.734,408.654,399.84,2.14
721.929,3.089,3.884,0.795,22.573,121.487,108.831,408.654,401.977,2.141
721.979,2.914,3.683,0.769,22.589,121.584,109.889,412.179,406.836,2.15
722.029,2.954,3.699,0.745,22.593,121.682,111.62,412.18,408.973,2.151
722.079,3.036,3.78,0.744,22.595,121.747,112.583,406.303,412.821,2.152
722.129,3.111,3.871,0.76,22.578,121.78,112.198,406.303,414.69,2.146
722.179,3.236,3.954,0.718,22.563,121.845,109.697,405.342,415.171,2.143
722.229,3.335,3.974,0.639,22.553,121.877,106.426,405.342,416.666,2.141
722.279,3.341,3.925,0.584,22.571,121.747,103.155,425.951,418.535,2.141
722.329,3.33,3.556,0.226,22.641,121.682,102.383,425.965,420.087,2.142
722.379,2.774,2.871,0.097,22.697,121.78,102.191,433.333,423.077,2.145
722.429,1.872,2.419,0.547,22.703,121.845,101.71,433.333,422.596,2.152
722.479,2.12,2.782,0.662,22.674,121.812,100.171,420.302,419.979,2.15
722.529,3.148,3.713,0.565,22.635,121.845,99.209,420.299,418.751,2.146
722.579,3.647,4.24,0.593,22.619,121.975,100.364,403.526,415.544,2.134
722.629,3.69,4.411,0.721,22.614,121.943,103.635,403.526,414.262,2.121
722.679,3.674,4.495,0.821,22.602,121.845,107.002,403.953,411.912,2.121
722.729,3.686,4.471,0.785,22.582,121.91,108.734,403.953,411.111,2.126
722.779,3.673,4.412,0.739,22.556,121.91,109.119,416.34,410.951,2.128
722.829,3.617,4.086,0.469,22.524,121.747,108.831,416.341,411.966,2.126
722.879,3.841,4.177,0.336,22.482,121.584,109.119,405.449,412.499,2.114
722.929,4.253,4.893,0.64,22.444,121.519,109.793,405.449,410.31,2.104
722.979,4.341,5.198,0.857,22.41,121.519,109.985,396.904,407.479,2.106
723.029,4.394,5.229,0.835,22.365,121.519,110.178,396.902,402.353,2.118
723.079,4.832,5.582,0.75,22.311,121.487,109.696,397.756,401.443,2.129
723.129,5.401,6.033,0.632,22.269,121.422,109.312,397.762,401.816,2.123
723.179,5.497,6.107,0.61,22.26,121.357,108.446,421.795,402.618,2.109
723.229,5.062,5.563,0.501,22.269,121.357,107.772,421.795,402.457,2.094
