DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
846.419,5.386,5.086,-0.3,22.265,104.293,109.466,371.795,363.835,2.244
846.469,5.615,5.417,-0.198,22.271,104.154,107.897,356.631,363.408,2.258
846.519,5.778,5.732,-0.046,22.281,104.154,107.307,346.473,363.356,2.266
846.569,6.554,6.198,-0.356,22.294,104.154,106.621,343.272,365.599,2.263
846.619,7.608,6.462,-1.146,22.302,104.224,106.523,355.021,368.91,2.255
846.669,7.595,6.319,-1.276,22.297,104.154,105.444,384.929,374.678,2.242
846.719,5.882,5.22,-0.662,22.286,103.807,104.366,390.062,373.932,2.233
846.769,4.163,4.06,-0.103,22.275,103.598,102.109,374.781,367.36,2.222
846.819,4.544,4.254,-0.29,22.27,103.598,101.814,364.635,365.278,2.214
846.869,5.814,4.708,-1.106,22.286,103.598,100.344,359.188,367.788,2.211
846.919,6.004,4.932,-1.072,22.315,103.598,98.578,363.781,370.405,2.217
846.969,5.583,5.073,-0.51,22.329,103.737,95.049,374.247,373.983,2.224
847.019,5.153,4.692,-0.461,22.321,104.015,91.71,376.605,374.467,2.219
847.069,4.975,4.487,-0.488,22.306,104.224,88.376,380.984,376.604,2.208
847.119,4.951,4.651,-0.3,22.299,104.432,86.023,387.393,383.12,2.193
847.169,4.731,4.473,-0.258,22.303,104.502,85.925,390.384,384.829,2.183
847.219,4.482,4.189,-0.293,22.31,104.432,87.003,392.734,384.028,2.177
847.269,4.368,4.177,-0.191,22.308,104.502,88.377,387.07,378.685,2.175
847.319,4.455,4.296,-0.159,22.303,104.571,89.652,381.408,376.068,2.178
847.369,4.693,4.464,-0.229,22.305,104.64,90.339,370.62,373.825,2.185
847.419,5.555,4.652,-0.903,22.312,104.779,90.927,368.163,374.252,2.198
847.469,5.711,4.522,-1.189,22.309,104.988,91.613,372.968,376.121,2.202
847.519,5.207,4.8,-0.407,22.294,105.127,93.381,376.069,376.817,2.194
847.569,6.197,6.156,-0.041,22.277,105.127,96.912,378.204,377.671,2.184
847.619,7.082,6.896,-0.186,22.263,105.127,101.324,375.534,378.9,2.176
847.669,6.984,6.424,-0.56,22.255,104.988,105.149,363.144,381.036,2.176
847.719,6.328,5.724,-0.604,22.25,104.779,109.071,355.666,380.342,2.166
847.769,5.604,5.353,-0.251,22.244,104.571,113.882,347.652,377.778,2.153
847.819,5.736,5.4,-0.336,22.241,104.293,118.982,353.532,377.832,2.148
847.869,6.667,5.574,-1.093,22.247,104.154,124.473,378.846,382.746,2.135
847.919,7.513,5.814,-1.699,22.26,104.085,128.886,395.722,388.193,2.127
847.969,6.532,5.518,-1.014,22.265,103.876,132.613,398.396,390.01,2.107
848.019,5.536,4.946,-0.59,22.25,103.737,134.184,406.629,395.301,2.084
848.069,6.345,5.481,-0.864,22.232,103.876,133.693,417.095,400.054,2.066
848.119,6.758,6.032,-0.726,22.233,103.946,132.614,419.872,401.335,2.054
848.169,5.874,5.089,-0.785,22.244,103.737,131.438,419.017,402.297,2.049
848.219,4.963,4.272,-0.691,22.252,103.599,130.163,416.561,402.19,2.042
848.269,5.154,4.726,-0.428,22.253,103.529,128.493,410.789,403.527,2.039
848.319,5.832,5.586,-0.246,22.251,103.39,125.747,408.227,405.823,2.044
848.369,6.087,6.148,0.061,22.253,103.321,122.315,408.654,408.547,2.055
