DEPT    .M,RMG     .ohmm   ,RMN     .ohmm,RMN-RMG,CAL     .cm  ,SP      .mv   ,GR      .   ,HAC     .us/m  ,BHC     .   ,DEN     .g/cm3
799.22,6.576,6.835,0.259,21.742,132.938,99.128,373.932,376.122,2.166
799.27,6.804,7.301,0.497,21.762,132.973,102.605,365.705,375.321,2.182
799.32,7.351,7.926,0.575,21.775,132.977,104.288,354.701,377.671,2.201
799.37,8.054,8.226,0.172,21.769,132.953,104.624,373.611,385.844,2.201
799.42,7.871,7.606,-0.265,21.752,132.93,103.839,388.675,389.69,2.22
799.47,6.855,6.396,-0.459,21.736,132.915,103.166,404.808,390.385,2.229
799.52,5.903,5.607,-0.296,21.733,132.892,103.951,401.282,387.5,2.222
799.57,5.651,5.934,0.283,21.744,132.851,105.41,382.479,384.295,2.196
799.62,6.228,6.671,0.443,21.761,132.797,105.073,376.603,384.829,2.164
799.67,6.624,6.757,0.133,21.777,132.738,102.381,380.876,389.53,2.148
799.72,6.234,6.275,0.041,21.773,132.677,99.801,385.577,391.72,2.144
799.77,5.703,5.747,0.044,21.751,132.63,98.118,393.59,394.712,2.137
799.82,5.486,5.506,0.02,21.74,132.623,97.333,397.222,395.353,2.131
799.87,5.555,5.549,-0.006,21.782,132.659,96.66,403.633,398.771,2.118
799.92,5.647,5.595,-0.052,21.917,132.702,94.529,405.983,400.962,2.11
799.97,5.516,5.558,0.042,22.109,132.711,90.939,412.286,400.908,2.105
800.02,5.305,5.52,0.215,22.261,132.679,87.686,412.073,398.451,2.11
800.07,5.345,5.637,0.292,22.3,132.645,87.462,406.731,389.209,2.11
800.12,5.684,5.894,0.21,22.201,132.644,89.818,397.97,382.212,2.103
800.17,5.878,5.782,-0.096,22.053,132.66,93.295,391.56,383.066,2.112
800.22,5.399,5.357,-0.042,21.918,132.625,97.221,383.547,386.432,2.12
800.27,5.315,5.898,0.583,21.743,132.511,101.708,381.303,388.408,2.122
800.32,6.477,7.392,0.915,21.526,132.383,107.317,385.897,389.797,2.117
800.37,7.378,8.162,0.784,21.329,132.268,113.374,390.812,394.07,2.09
800.42,7.247,7.93,0.683,21.242,132.192,119.431,385.043,395.94,2.081
800.47,7.037,8.154,1.117,21.302,132.149,122.909,367.521,397.382,2.07
800.52,7.629,9.439,1.81,21.388,132.101,124.479,362.607,396.741,2.053
800.57,8.448,10.471,2.023,21.432,132.042,125.825,375,397.062,2.036
800.62,8.613,10.157,1.544,21.475,132.026,126.61,388.034,399.252,2.017
800.67,8.101,9.068,0.967,21.574,132.078,126.723,407.265,406.357,2.004
800.72,7.74,8.614,0.874,21.736,132.126,124.816,411.859,411.111,2.001
800.77,8.174,8.993,0.819,21.858,132.075,122.684,423.291,420.246,2.007
800.82,8.47,9.123,0.653,21.888,131.932,120.777,430.876,424.466,2.01
800.87,8.356,8.756,0.4,21.872,131.792,118.87,432.372,425.427,2.02
800.92,8.584,8.712,0.128,21.877,131.729,115.73,427.885,425.534,2.025
800.97,8.852,9.019,0.167,21.943,131.747,113.037,425.214,425.641,2.027
801.02,8.345,8.773,0.428,22.072,131.821,109.897,424.038,428.365,2.023
801.07,7.69,8.455,0.765,22.2,131.908,109.111,427.778,432.158,2.018
801.12,8.043,8.798,0.755,22.257,131.931,110.457,431.09,432.318,2.028
801.17,8.574,8.987,0.413,22.223,131.836,112.364,434.081,429.273,2.018
801.22,8.184,8.616,0.432,22.109,131.666,114.271,431.944,426.816,2.011
801.27,7.843,8.358,0.515,21.986,131.516,115.393,424.893,422.917,2.004
801.32,8.144,8.481,0.337,21.906,131.425,119.431,419.872,422.917,2.006
801.37,8.205,8.707,0.502,21.851,131.359,123.582,414.316,420.94,2.008
801.42,7.919,8.635,0.716,21.81,131.301,128.181,413.355,420.459,2.023
801.47,8.032,8.203,0.171,21.788,131.269,131.658,403.739,416.934,2.042
801.52,8.156,8.011,-0.145,21.802,131.248,133.116,395.62,415.331,2.062
801.57,8.196,8.964,0.768,21.873,131.192,133.116,377.564,417.682,2.064
