DEPTH,BRITTLE_HORZ,BRITTLE_VERT,COHESION,DEN,DTC,E_HORZ,E_VERT,GGRM,GMPO,GMTH,GMUR,MSPD,NPRL,PF,PP,PR_HORZ,PR_VERT,R20F,R30F,R40F,R60F,R85F,SHDEF,SHMAX,SHMIN,ST,SV,TOC,UCS,VP,VPVS_X,VPVS_Y,VS_X,VS_Y
2501.000,62.204,52.722,19.516,2.610,66.000,45.721,37.002,122.258,3.986,18.939,3.719,6.328,17.496,54.464,42.483,0.230,0.249,1.456,1.416,1.379,1.369,1.367,22.677,73.296,50.618,18.387,59.071,0.946,275.811,4618.197,2.004,1.731,2304.726,2668.483
2501.125,63.991,54.353,18.705,2.603,66.719,45.608,36.443,118.486,3.995,19.473,3.476,6.321,17.353,52.057,42.484,0.219,0.237,1.407,1.367,1.329,1.319,1.317,22.829,72.437,49.608,18.154,59.072,0.772,272.311,4568.504,1.985,1.704,2301.225,2681.360
2501.250,65.323,55.502,17.871,2.593,67.291,45.386,35.817,117.250,4.052,20.425,2.914,6.341,16.985,50.033,42.484,0.210,0.228,1.396,1.356,1.318,1.309,1.308,22.886,71.702,48.816,17.771,59.072,0.360,266.564,4529.576,1.975,1.684,2293.418,2689.742
2501.375,65.688,55.765,17.223,2.583,67.614,45.050,35.313,117.768,4.123,21.504,2.249,6.387,16.694,49.060,42.484,0.206,0.224,1.422,1.383,1.346,1.339,1.337,22.785,71.262,48.477,17.375,59.073,0.038,260.621,4507.919,1.974,1.677,2283.866,2688.756
2501.500,65.793,55.732,17.189,2.583,67.634,45.034,35.161,121.451,4.159,22.318,1.684,6.439,16.672,48.997,42.485,0.205,0.223,1.473,1.437,1.401,1.395,1.394,22.790,71.251,48.461,17.348,59.073,0.000,260.224,4506.613,1.978,1.676,2278.373,2689.410
2501.625,66.505,56.093,17.708,2.590,67.465,45.498,35.216,128.116,4.101,22.742,1.415,6.463,16.896,49.049,42.485,0.203,0.222,1.534,1.501,1.467,1.463,1.462,23.069,71.506,48.438,17.727,59.074,0.000,265.903,4517.893,1.985,1.672,2276.397,2702.156
2501.750,65.975,55.496,18.247,2.595,67.097,45.731,35.508,130.356,3.970,22.637,1.423,6.443,17.135,50.150,42.485,0.207,0.226,1.587,1.557,1.524,1.522,1.522,23.106,71.983,48.877,17.988,59.074,0.000,269.825,4542.672,1.994,1.681,2278.168,2701.662
2501.875,64.916,54.455,18.736,2.598,66.604,45.863,35.870,126.988,3.795,21.438,1.788,6.395,17.171,51.648,42.486,0.214,0.234,1.628,1.601,1.570,1.570,1.571,23.041,72.573,49.532,18.112,59.074,0.000,271.673,4576.320,2.007,1.697,2280.654,2696.190
2502.000,64.349,53.638,18.854,2.593,66.195,45.930,35.856,118.622,3.588,19.940,2.323,6.361,16.938,52.442,42.486,0.218,0.239,1.666,1.642,1.613,1.615,1.617,23.005,72.986,49.981,17.971,59.075,0.000,269.564,4604.607,2.024,1.708,2275.101,2696.682
2502.125,63.947,52.933,18.929,2.587,65.764,46.051,35.828,107.691,3.495,18.219,2.817,6.354,16.558,53.066,42.486,0.221,0.243,1.693,1.672,1.644,1.648,1.652,23.010,73.399,50.389,17.784,59.075,0.288,266.763,4634.757,2.042,1.716,2269.931,2700.171
2502.250,64.615,53.121,19.036,2.585,65.590,46.377,35.661,99.719,3.519,16.463,3.192,6.344,16.279,52.808,42.487,0.218,0.241,1.702,1.683,1.656,1.663,1.668,23.223,73.590,50.367,17.782,59.076,0.567,266.735,4647.029,2.053,1.712,2263.135,2713.701
2502.375,65.586,53.776,19.250,2.587,65.542,46.798,35.649,96.788,3.626,15.351,3.278,6.322,16.199,52.279,42.487,0.214,0.237,1.697,1.680,1.654,1.663,1.671,23.511,73.670,50.159,17.960,59.076,0.630,269.393,4650.476,2.055,1.704,2263.366,2729.385
2502.500,65.914,54.164,19.674,2.594,65.444,47.150,35.994,100.414,3.771,15.241,3.008,6.314,16.309,52.356,42.487,0.214,0.236,1.683,1.668,1.643,1.655,1.664,23.697,73.833,50.136,18.269,59.077,0.432,274.035,4657.382,2.049,1.702,2273.209,2736.356
2502.625,65.405,53.792,20.139,2.602,65.285,47.242,36.309,106.837,3.841,16.043,2.604,6.328,16.494,53.215,42.487,0.217,0.240,1.661,1.648,1.624,1.637,1.648,23.676,74.102,50.426,18.526,59.077,0.139,277.888,4668.777,2.050,1.710,2277.341,2730.743
2502.750,65.292,53.659,20.337,2.605,65.181,47.325,36.406,112.402,3.863,17.054,2.212,6.358,16.563,53.522,42.488,0.218,0.241,1.635,1.624,1.601,1.617,1.630,23.697,74.241,50.544,18.620,59.078,0.000,279.304,4676.240,2.053,1.712,2278.170,2730.912
2502.875,64.998,53.324,20.163,2.602,65.222,47.114,36.217,116.901,3.799,18.561,1.808,6.406,16.513,53.647,42.488,0.219,0.242,1.617,1.608,1.586,1.605,1.619,23.575,74.190,50.615,18.480,59.078,0.000,277.195,4673.258,2.058,1.715,2271.220,2724.983
2503.000,63.973,52.614,19.770,2.603,65.444,46.516,36.049,119.841,3.684,20.110,1.487,6.451,16.402,54.047,42.488,0.223,0.246,1.614,1.607,1.586,1.607,1.623,23.208,73.968,50.761,18.222,59.079,0.000,273.329,4657.393,2.057,1.723,2264.302,2703.336
2503.125,63.667,52.692,19.192,2.604,65.896,46.021,35.885,120.664,3.626,21.080,1.279,6.454,16.193,53.558,42.489,0.222,0.245,1.624,1.620,1.601,1.624,1.642,22.966,73.485,50.520,17.973,59.079,0.000,269.593,4625.513,2.044,1.720,2263.134,2688.927
2503.250,63.578,52.869,18.766,2.602,66.201,45.721,35.793,120.764,3.615,21.587,1.167,6.439,16.012,53.076,42.489,0.222,0.243,1.640,1.638,1.621,1.646,1.666,22.830,73.138,50.308,17.781,59.079,0.000,266.712,4604.147,2.033,1.717,2264.301,2681.529
2503.375,63.543,52.741,18.566,2.597,66.184,45.626,35.629,120.971,3.667,21.396,1.195,6.423,15.948,52.959,42.489,0.221,0.243,1.646,1.647,1.633,1.659,1.680,22.786,73.098,50.311,17.612,59.080,0.000,264.182,4605.342,2.037,1.717,2260.571,2682.016
2503.500,63.717,52.543,18.598,2.586,65.847,45.816,35.510,120.155,3.743,20.785,1.343,6.395,15.979,53.038,42.490,0.221,0.244,1.628,1.633,1.620,1.647,1.668,22.886,73.344,50.459,17.496,59.080,0.000,262.433,4628.886,2.051,1.719,2257.315,2693.367
2503.625,64.176,52.708,18.804,2.578,65.462,46.241,35.635,117.837,3.721,19.741,1.770,6.336,15.989,52.989,42.490,0.220,0.244,1.593,1.600,1.590,1.616,1.637,23.115,73.654,50.539,17.517,59.081,0.000,262.753,4656.153,2.058,1.718,2262.788,2710.838
2503.750,64.472,53.034,19.075,2.580,65.250,46.621,35.993,115.217,3.673,18.751,2.220,6.291,15.851,52.983,42.490,0.220,0.243,1.573,1.581,1.572,1.596,1.616,23.308,73.872,50.563,17.655,59.081,0.000,264.829,4671.259,2.054,1.717,2274.634,2721.092
2503.875,65.139,53.876,19.273,2.588,65.330,46.974,36.356,112.286,3.533,18.061,2.687,6.265,15.662,52.470,42.491,0.218,0.240,1.602,1.609,1.600,1.622,1.640,23.533,73.837,50.305,17.884,59.082,0.197,268.256,4665.560,2.039,1.709,2288.389,2729.891
2504.000,65.987,54.830,19.161,2.590,65.542,47.161,36.457,110.851,3.369,17.904,2.996,6.262,15.507,51.505,42.491,0.213,0.234,1.701,1.705,1.694,1.713,1.729,23.710,73.591,49.881,17.945,59.082,0.423,269.175,4650.484,2.024,1.698,2297.483,2739.088
2504.125,66.198,55.166,18.787,2.584,65.698,47.020,36.366,109.697,3.271,18.224,3.036,6.305,15.488,50.868,42.491,0.211,0.232,1.853,1.852,1.837,1.852,1.864,23.675,73.315,49.639,17.756,59.082,0.453,266.341,4639.422,2.016,1.693,2301.102,2740.630
2504.250,66.017,54.979,18.438,2.575,65.799,46.722,36.085,107.435,3.201,18.530,3.035,6.378,15.665,50.687,42.492,0.211,0.232,1.913,1.905,1.884,1.895,1.904,23.529,73.115,49.586,17.535,59.083,0.452,263.020,4632.322,2.018,1.693,2295.569,2736.705
2504.375,65.677,54.593,18.389,2.574,65.847,46.505,35.891,107.220,3.186,19.161,2.854,6.435,15.888,50.974,42.492,0.212,0.233,1.914,1.896,1.867,1.874,1.880,23.399,73.080,49.682,17.501,59.083,0.317,262.517,4628.898,2.024,1.696,2287.557,2729.728
2504.500,65.947,54.717,18.612,2.583,65.986,46.555,35.770,108.902,3.234,19.541,2.682,6.440,16.029,51.005,42.492,0.211,0.232,1.845,1.817,1.781,1.784,1.786,23.451,73.060,49.610,17.729,59.084,0.187,265.930,4619.160,2.026,1.693,2279.828,2728.195
2504.625,66.479,54.874,19.194,2.597,66.010,46.866,35.683,109.384,3.339,19.355,2.629,6.384,16.153,51.264,42.493,0.209,0.231,1.785,1.746,1.703,1.704,1.704,23.644,73.257,49.613,18.174,59.084,0.146,272.610,4617.454,2.035,1.690,2268.637,2731.519
2504.750,67.116,55.282,19.916,2.615,65.993,47.332,35.852,109.957,3.388,19.105,2.683,6.290,16.241,51.481,42.493,0.207,0.229,1.672,1.626,1.577,1.576,1.576,23.915,73.497,49.582,18.724,59.085,0.187,280.855,4618.669,2.038,1.687,2266.641,2737.920
2504.875,66.917,55.358,20.235,2.626,65.997,47.449,36.240,110.400,3.442,18.901,2.721,6.179,16.197,51.839,42.493,0.209,0.230,1.424,1.371,1.317,1.315,1.315,23.941,73.596,49.655,18.963,59.085,0.217,284.450,4618.427,2.029,1.689,2275.928,2733.812
2505.000,65.703,54.760,19.962,2.625,66.028,47.039,36.560,109.798,3.531,18.743,2.667,6.085,16.013,52.411,42.493,0.215,0.235,1.230,1.172,1.114,1.112,1.112,23.626,73.526,49.900,18.731,59.085,0.175,280.958,4616.239,2.019,1.700,2286.472,2716.047
2505.125,64.846,54.288,19.330,2.616,66.160,46.511,36.485,110.035,3.607,18.549,2.598,6.022,15.781,52.399,42.494,0.217,0.238,1.193,1.133,1.073,1.073,1.073,23.305,73.266,49.961,18.277,59.086,0.108,274.148,4607.037,2.013,1.705,2288.383,2702.173
2505.250,64.099,53.767,18.788,2.606,66.194,46.075,36.354,109.710,3.670,18.450,2.470,5.992,15.598,52.446,42.494,0.220,0.240,1.200,1.141,1.081,1.082,1.083,23.037,73.102,50.065,17.847,59.086,0.000,267.707,4604.617,2.013,1.710,2287.909,2692.058
2505.375,63.914,53.514,18.504,2.595,66.083,45.962,36.219,108.530,3.771,18.199,2.327,5.975,15.474,52.378,42.494,0.221,0.241,1.198,1.143,1.083,1.087,1.090,22.969,73.104,50.135,17.572,59.087,0.000,263.577,4612.359,2.017,1.712,2286.357,2693.374
2505.500,64.320,53.497,18.730,2.592,65.764,46.320,36.182,106.469,3.872,17.384,2.350,5.977,15.354,52.459,42.495,0.220,0.241,1.224,1.174,1.117,1.123,1.128,23.165,73.422,50.257,17.605,59.087,0.000,264.070,4634.751,2.030,1.712,2283.148,2706.653
2505.625,64.889,53.866,19.277,2.598,65.452,46.921,36.539,105.572,3.954,17.057,2.278,6.027,15.205,52.590,42.495,0.219,0.241,1.321,1.277,1.225,1.234,1.240,23.482,73.814,50.333,17.902,59.087,0.000,268.525,4656.885,2.032,1.711,2291.368,2721.930
2505.750,65.305,54.233,19.434,2.599,65.354,47.209,36.717,104.664,4.011,16.819,2.253,6.109,15.071,52.389,42.495,0.218,0.239,1.431,1.394,1.346,1.358,1.367,23.650,73.919,50.269,17.997,59.088,0.000,269.959,4663.816,2.030,1.708,2297.734,2730.917
