DEPT    .M ,RMG     .ohmm ,RMN     .ohmm,RMN-RMG,CAL     .cm ,SP      .mv  ,GR      .   ,HAC     .us/m,BHC     .,DEN     .g/cm3 
784.4,2.218,2.211,-0.007,23.287,122.554,92.479,412.073,405.235,2.213
784.45,2.206,2.206,0,23.189,122.649,96.312,410.791,404.487,2.205
784.5,2.252,2.246,-0.006,23.15,122.838,99.064,407.692,403.419,2.191
784.55,2.29,2.259,-0.031,23.147,122.98,101.029,406.41,402.831,2.179
784.6,2.286,2.276,-0.01,23.149,123.027,100.833,405.342,402.404,2.172
784.65,2.305,2.333,0.028,23.153,123.027,100.931,405.235,402.778,2.176
784.7,2.318,2.327,0.009,23.158,123.074,100.243,404.915,403.365,2.186
784.75,2.277,2.285,0.008,23.169,123.169,100.243,405.021,403.686,2.191
784.8,2.251,2.266,0.015,23.195,123.264,98.572,405.556,403.793,2.195
784.85,2.286,2.276,-0.01,23.219,123.264,96.902,405.983,403.739,2.197
784.9,2.313,2.298,-0.015,23.218,122.98,95.034,406.517,403.259,2.201
784.95,2.317,2.307,-0.01,23.195,122.933,94.052,405.769,402.938,2.207
785,2.328,2.31,-0.018,23.175,123.453,94.052,405.342,403.259,2.211
785.05,2.331,2.308,-0.023,23.186,123.736,93.167,404.808,403.205,2.209
785.1,2.339,2.324,-0.015,23.229,123.642,91.496,403.953,403.365,2.204
785.15,2.338,2.323,-0.015,23.284,123.547,89.727,403.846,404.22,2.195
785.2,2.326,2.294,-0.032,23.338,123.453,89.236,402.991,404.701,2.191
785.25,2.356,2.318,-0.038,23.366,123.405,89.629,403.205,404.968,2.187
785.3,2.415,2.396,-0.019,23.34,123.405,90.317,403.205,403.846,2.176
785.35,2.415,2.414,-0.001,23.287,123.405,90.121,403.633,402.938,2.171
785.4,2.352,2.346,-0.006,23.245,123.453,90.022,403.526,400.908,2.174
785.45,2.308,2.292,-0.016,23.229,123.595,90.514,403.312,399.733,2.184
785.5,2.297,2.285,-0.012,23.238,123.642,92.872,403.953,397.917,2.203
785.55,2.313,2.32,0.007,23.261,123.5,95.034,404.38,397.703,2.222
785.6,2.331,2.355,0.024,23.29,123.5,96.607,405.983,397.436,2.239
785.65,2.31,2.354,0.044,23.324,123.547,96.312,405.128,397.65,2.249
785.7,2.313,2.374,0.061,23.344,123.405,95.329,399.145,397.382,2.254
785.75,2.392,2.474,0.082,23.333,123.311,94.838,394.444,396.848,2.259
785.8,2.543,2.642,0.099,23.304,123.405,95.722,383.547,396.528,2.268
785.85,2.673,2.783,0.11,23.281,123.784,96.803,380.235,397.97,2.274
785.9,2.739,2.898,0.159,23.291,124.257,98.376,382.158,399.092,2.272
785.95,2.81,2.928,0.118,23.344,124.351,99.752,391.987,401.549,2.258
786,2.775,2.779,0.004,23.432,124.115,100.931,398.184,402.885,2.228
786.05,2.647,2.64,-0.007,23.541,124.02,102.012,406.41,403.793,2.193
786.1,2.595,2.614,0.019,23.64,124.067,103.29,411.645,403.793,2.162
786.15,2.599,2.589,-0.01,23.683,123.973,104.371,413.782,403.686,2.137
786.2,2.594,2.552,-0.042,23.64,123.926,104.174,416.453,403.205,2.118
786.25,2.6,2.57,-0.03,23.526,123.926,103.29,416.667,403.312,2.11
786.3,2.59,2.593,0.003,23.385,123.784,101.914,413.889,403.419,2.104
786.35,2.524,2.533,0.009,23.269,123.784,99.653,411.218,403.472,2.106
786.4,2.486,2.47,-0.016,23.21,124.067,97.688,406.624,404.006,2.114
786.45,2.546,2.531,-0.015,23.186,124.304,95.428,405.342,404.487,2.125
786.5,2.645,2.676,0.031,23.171,124.209,93.757,403.739,405.449,2.129
786.55,2.717,2.792,0.075,23.159,124.115,91.595,403.633,405.128,2.13
786.6,2.759,2.822,0.063,23.147,124.304,91.693,403.953,403.633,2.129
786.65,2.77,2.812,0.042,23.137,124.493,91.791,403.205,401.282,2.133
786.7,2.76,2.814,0.054,23.126,124.588,91.103,403.205,399.84,2.149
786.75,2.761,2.819,0.058,23.107,124.777,89.433,401.389,399.199,2.166
786.8,2.77,2.854,0.084,23.08,125.013,88.352,399.786,400.534,2.18
786.85,2.732,2.842,0.11,23.052,125.25,88.646,399.786,401.442,2.18
786.9,2.645,2.721,0.076,23.023,125.439,88.646,399.145,401.496,2.177
786.95,2.577,2.599,0.022,22.993,125.155,88.155,398.718,401.763,2.179
