DEPT    .M ,RMG     .ohmm  ,RMN     .ohmm  ,RMN-RMG,CAL     .cm   ,SP      .mv   ,GR      .  ,HAC     .us/m ,BHC     .   ,DEN     .g/cm3 
924.769,2.092,2.165,0.073,23.065,109.995,85.192,389.85,389.942,2.246
924.819,2.031,2.113,0.082,23.118,110.048,84.427,395.513,391.262,2.251
924.869,1.93,2.051,0.121,23.145,110.208,82.802,400.214,391.941,2.259
924.919,1.966,2.14,0.174,23.126,110.368,80.986,404.38,391.896,2.267
924.969,2.251,2.486,0.235,23.076,110.51,79.074,400.107,391.598,2.267
925.019,2.7,2.853,0.153,23.034,110.581,78.883,385.256,392.292,2.261
925.069,2.854,2.841,-0.013,23.006,110.581,78.788,378.205,393.674,2.243
925.119,2.546,2.535,-0.011,22.973,110.634,80.604,382.692,397.054,2.219
925.169,2.293,2.303,0.01,22.936,110.723,80.413,397.756,399.115,2.185
925.219,2.173,2.177,0.004,22.88,110.723,80.795,403.312,401.473,2.169
925.269,2.05,2.071,0.021,22.83,110.652,81.177,410.043,402.144,2.159
925.319,1.97,1.958,-0.012,22.797,110.563,82.324,413.462,402.16,2.155
925.369,1.877,1.876,-0.001,22.769,110.368,83.376,415.171,401.29,2.155
925.419,1.87,1.939,0.069,22.756,110.101,84.427,412.607,399.344,2.154
925.469,2,2.095,0.095,22.747,109.941,84.809,411.004,398.52,2.16
925.519,2.126,2.226,0.1,22.748,109.817,84.14,405.342,398.504,2.161
925.569,2.243,2.355,0.112,22.765,109.639,83.662,403.205,399.237,2.165
925.619,2.397,2.525,0.128,22.763,109.604,84.045,398.718,399.901,2.171
925.669,2.5,2.657,0.157,22.741,109.746,84.523,396.368,399.023,2.179
925.719,2.687,2.858,0.171,22.739,109.835,84.714,388.034,396.589,2.185
925.769,2.936,3.075,0.139,22.78,109.835,86.052,384.081,394.811,2.181
925.819,2.89,2.978,0.088,22.807,109.799,87.581,382.906,393.071,2.169
925.869,2.697,2.754,0.057,22.75,109.622,88.537,386.645,391.766,2.154
925.919,2.634,2.682,0.048,22.609,109.408,88.537,394.338,389.164,2.14
925.969,2.617,2.721,0.104,22.45,109.408,87.963,395.085,386.951,2.132
926.019,2.644,2.802,0.158,22.381,109.55,87.294,389.423,384.272,2.128
926.069,2.803,2.925,0.122,22.398,109.657,85.287,386.752,383.555,2.131
926.119,3.047,3.139,0.092,22.426,109.693,82.707,381.197,383.494,2.136
926.169,3.211,3.33,0.119,22.454,109.639,79.17,378.633,383.631,2.141
926.219,3.224,3.328,0.104,22.488,109.497,76.494,377.671,382.692,2.144
926.269,3.174,3.286,0.112,22.528,109.302,74.295,378.526,381.723,2.141
926.319,3.06,3.23,0.17,22.577,109.142,72.957,383.761,380.082,2.135
926.369,2.844,3.017,0.173,22.673,109.053,72.479,387.5,379.083,2.124
926.419,2.77,2.961,0.191,22.816,108.964,73.053,389.316,376.511,2.119
926.469,2.955,3.18,0.225,22.928,108.822,73.722,385.577,374.779,2.117
926.519,3.114,3.395,0.281,22.964,108.662,74.2,379.808,372.703,2.114
926.569,3.2,3.524,0.324,22.962,108.555,74.391,377.671,371.948,2.112
926.619,3.289,3.549,0.26,22.95,108.555,74.487,375,371.406,2.113
926.669,3.347,3.561,0.214,22.931,108.644,74.009,374.359,371.169,2.121
926.719,3.439,3.701,0.262,22.912,108.751,73.34,373.504,370.81,2.123
926.769,3.499,3.835,0.336,22.893,108.893,73.053,370.299,370.749,2.123
926.819,3.467,3.822,0.355,22.882,109.106,74.104,367.628,371.078,2.124
926.869,3.348,3.711,0.363,22.871,109.408,76.876,368.056,371.459,2.129
926.919,3.197,3.622,0.425,22.862,109.71,80.604,369.551,371.581,2.137
926.969,3.2,3.589,0.389,22.852,109.906,83.758,371.047,371.322,2.144
